127.0.0.1, 2016-08-11 16:01:01, GET, /, HTTP/1.1, 303, 0.000000
127.0.0.1, 2016-08-11 16:01:04, GET, /welcome/default/index, HTTP/1.1, 200, 2.166000
127.0.0.1, 2016-08-11 16:01:04, GET, /welcome/static/css/web2py-bootstrap3.css, HTTP/1.1, 200, 0.000000
127.0.0.1, 2016-08-11 16:01:04, GET, /welcome/static/css/bootstrap.min.css, HTTP/1.1, 200, 0.000000
127.0.0.1, 2016-08-11 16:01:04, GET, /welcome/static/js/modernizr-2.8.3.min.js, HTTP/1.1, 200, 0.000000
127.0.0.1, 2016-08-11 16:01:04, GET, /welcome/static/js/jquery.js, HTTP/1.1, 200, 0.000000
127.0.0.1, 2016-08-11 16:01:04, GET, /welcome/static/css/calendar.css, HTTP/1.1, 200, 0.000000
127.0.0.1, 2016-08-11 16:01:04, GET, /welcome/static/js/calendar.js, HTTP/1.1, 200, 0.000000
127.0.0.1, 2016-08-11 16:01:04, GET, /welcome/static/js/web2py.js, HTTP/1.1, 200, 0.000000
127.0.0.1, 2016-08-11 16:01:04, GET, /welcome/static/js/bootstrap.min.js, HTTP/1.1, 200, 0.000000
127.0.0.1, 2016-08-11 16:01:04, GET, /welcome/static/js/web2py-bootstrap3.js, HTTP/1.1, 200, 0.016000
127.0.0.1, 2016-08-11 16:01:04, GET, /welcome/static/js/share.js, HTTP/1.1, 200, 0.000000
127.0.0.1, 2016-08-11 16:01:07, GET, /welcome/static/fonts/glyphicons-halflings-regular.woff, HTTP/1.1, 200, 0.001000
127.0.0.1, 2016-08-11 16:01:07, GET, /welcome/static/images/twitter.png, HTTP/1.1, 200, 0.000000
127.0.0.1, 2016-08-11 16:01:07, GET, /welcome/static/images/facebook.png, HTTP/1.1, 200, 0.000000
127.0.0.1, 2016-08-11 16:01:07, GET, /welcome/static/images/gplus-32.png, HTTP/1.1, 200, 0.000000
127.0.0.1, 2016-08-11 16:01:07, GET, /welcome/static/images/background.jpg, HTTP/1.1, 200, 0.000000
127.0.0.1, 2016-08-11 16:01:13, GET, /admin/default/index, HTTP/1.1, 200, 0.954000
127.0.0.1, 2016-08-11 16:01:13, GET, /admin/static/_2.14.6/js/calendar.js, HTTP/1.1, 200, 0.085000
127.0.0.1, 2016-08-11 16:01:13, GET, /admin/static/_2.14.6/js/web2py.js, HTTP/1.1, 200, 0.151000
127.0.0.1, 2016-08-11 16:01:13, GET, /admin/static/_2.14.6/plugin_statebutton/css/bootstrap-switch.css, HTTP/1.1, 200, 0.016000
127.0.0.1, 2016-08-11 16:01:13, GET, /admin/static/_2.14.6/plugin_multiselect/jquery.multi-select.js, HTTP/1.1, 200, 0.216000
127.0.0.1, 2016-08-11 16:01:13, GET, /admin/static/_2.14.6/css/bootstrap_essentials.css, HTTP/1.1, 200, 0.169000
127.0.0.1, 2016-08-11 16:01:13, GET, /admin/static/_2.14.6/css/bootstrap-responsive.min.css, HTTP/1.1, 200, 0.138000
127.0.0.1, 2016-08-11 16:01:13, GET, /admin/static/_2.14.6/css/calendar.css, HTTP/1.1, 200, 0.354000
127.0.0.1, 2016-08-11 16:01:13, GET, /admin/static/_2.14.6/css/bootstrap.min.css, HTTP/1.1, 200, 0.185000
127.0.0.1, 2016-08-11 16:01:13, GET, /admin/static/_2.14.6/plugin_multiselect/start.js, HTTP/1.1, 200, 0.015000
127.0.0.1, 2016-08-11 16:01:13, GET, /admin/static/_2.14.6/js/jquery.js, HTTP/1.1, 200, 0.369000
127.0.0.1, 2016-08-11 16:01:14, GET, /admin/static/_2.14.6/images/questions.png, HTTP/1.1, 200, 0.047000
127.0.0.1, 2016-08-11 16:01:14, GET, /admin/static/_2.14.6/js/bootstrap.min.js, HTTP/1.1, 200, 0.079000
127.0.0.1, 2016-08-11 16:01:14, GET, /admin/static/_2.14.6/plugin_statebutton/js/bootstrap-switch.js, HTTP/1.1, 200, 0.197000
127.0.0.1, 2016-08-11 16:01:14, GET, /admin/static/_2.14.6/plugin_multiselect/multi-select.css, HTTP/1.1, 200, 0.755000
127.0.0.1, 2016-08-11 16:01:15, GET, /admin/static/_2.14.6/images/glyphicons-halflings.png, HTTP/1.1, 200, 0.031000
127.0.0.1, 2016-08-11 16:01:20, POST, /admin/default/index, HTTP/1.1, 303, 0.082000
127.0.0.1, 2016-08-11 16:01:20, GET, /admin/default/site, HTTP/1.1, 200, 0.219000
127.0.0.1, 2016-08-11 16:01:20, GET, /admin/static/_2.14.6/images/folder_locked.png, HTTP/1.1, 200, 0.019000
127.0.0.1, 2016-08-11 16:01:21, GET, /admin/static/_2.14.6/images/glyphicons-halflings-white.png, HTTP/1.1, 200, 0.047000
127.0.0.1, 2016-08-11 16:01:21, POST, /admin/default/check_version, HTTP/1.1, 200, 0.532000
127.0.0.1, 2016-08-11 16:02:01, POST, /admin/default/site, HTTP/1.1, 303, 1.253000
127.0.0.1, 2016-08-11 16:02:02, GET, /admin/default/site, HTTP/1.1, 200, 0.053000
127.0.0.1, 2016-08-11 16:02:14, GET, /sigf/default/index, HTTP/1.1, 200, 3.326000
127.0.0.1, 2016-08-11 16:02:14, GET, /sigf/static/css/bootstrap.min.css, HTTP/1.1, 200, 0.000000
127.0.0.1, 2016-08-11 16:02:14, GET, /sigf/static/css/web2py-bootstrap3.css, HTTP/1.1, 200, 0.000000
127.0.0.1, 2016-08-11 16:02:14, GET, /sigf/static/js/modernizr-2.8.3.min.js, HTTP/1.1, 200, 0.000000
127.0.0.1, 2016-08-11 16:02:14, GET, /sigf/static/js/jquery.js, HTTP/1.1, 200, 0.000000
127.0.0.1, 2016-08-11 16:02:14, GET, /sigf/static/css/calendar.css, HTTP/1.1, 200, 0.000000
127.0.0.1, 2016-08-11 16:02:14, GET, /sigf/static/js/calendar.js, HTTP/1.1, 200, 0.000000
127.0.0.1, 2016-08-11 16:02:14, GET, /sigf/static/js/web2py.js, HTTP/1.1, 200, 0.000000
127.0.0.1, 2016-08-11 16:02:14, GET, /sigf/static/js/bootstrap.min.js, HTTP/1.1, 200, 0.000000
127.0.0.1, 2016-08-11 16:02:14, GET, /sigf/static/js/web2py-bootstrap3.js, HTTP/1.1, 200, 0.000000
127.0.0.1, 2016-08-11 16:02:14, GET, /sigf/static/js/share.js, HTTP/1.1, 200, 0.000000
127.0.0.1, 2016-08-11 16:02:14, GET, /sigf/static/fonts/glyphicons-halflings-regular.woff, HTTP/1.1, 200, 0.000000
127.0.0.1, 2016-08-11 16:02:14, GET, /sigf/static/images/twitter.png, HTTP/1.1, 200, 0.000000
127.0.0.1, 2016-08-11 16:02:14, GET, /sigf/static/images/facebook.png, HTTP/1.1, 200, 0.000000
127.0.0.1, 2016-08-11 16:02:14, GET, /sigf/static/images/gplus-32.png, HTTP/1.1, 200, 0.000000
127.0.0.1, 2016-08-11 16:02:14, GET, /sigf/static/images/background.jpg, HTTP/1.1, 200, 0.000000
127.0.0.1, 2016-08-11 16:02:32, GET, /admin/default/design/sigf, HTTP/1.1, 200, 0.988000
127.0.0.1, 2016-08-11 16:02:32, GET, /admin/static/_2.14.6/images/test_icon.png, HTTP/1.1, 200, 0.036000
127.0.0.1, 2016-08-11 16:02:32, GET, /admin/static/_2.14.6/images/delete_icon.png, HTTP/1.1, 200, 0.161000
127.0.0.1, 2016-08-11 16:02:32, GET, /admin/static/_2.14.6/images/search.png, HTTP/1.1, 200, 0.132000
127.0.0.1, 2016-08-11 16:02:32, GET, /admin/static/_2.14.6/images/help.png, HTTP/1.1, 200, 0.382000
127.0.0.1, 2016-08-11 16:02:38, GET, /sigf/appadmin/index, HTTP/1.1, 200, 2.009000
127.0.0.1, 2016-08-11 16:02:41, GET, /sigf/appadmin/hooks, HTTP/1.1, 200, 1.949000
127.0.0.1, 2016-08-11 16:02:45, GET, /sigf/appadmin/insert/db/t_time, HTTP/1.1, 200, 2.304000
127.0.0.1, 2016-08-11 16:02:51, POST, /sigf/appadmin/insert/db/t_time, HTTP/1.1, 200, 2.372000
127.0.0.1, 2016-08-11 16:02:59, POST, /sigf/appadmin/insert/db/t_time, HTTP/1.1, 200, 2.589000
127.0.0.1, 2016-08-11 16:03:03, GET, /sigf/appadmin/index, HTTP/1.1, 200, 1.835000
127.0.0.1, 2016-08-11 16:03:05, GET, /sigf/appadmin/hooks, HTTP/1.1, 200, 1.882000
